GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bookstore-lab,com.university.bookstore.iterator,MaterialIteratorFactory,184,0,22,0,56,0,31,0,20,0
bookstore-lab,com.university.bookstore.iterator,MaterialTypeIterator,65,88,5,9,12,19,11,9,8,5
bookstore-lab,com.university.bookstore.iterator,PriceRangeIterator,88,120,8,16,15,24,16,11,10,5
bookstore-lab,com.university.bookstore.iterator,PriceSortedIterator,112,49,12,4,18,11,17,4,10,3
bookstore-lab,com.university.bookstore.observer,MaterialAddedEvent,65,44,10,0,7,9,8,5,3,5
bookstore-lab,com.university.bookstore.observer,MaterialEventPublisher,134,63,13,5,32,19,17,7,9,6
bookstore-lab,com.university.bookstore.observer,MaterialObserver,5,1,0,0,2,1,2,1,2,1
bookstore-lab,com.university.bookstore.observer,PriceChangedEvent,158,78,24,2,16,16,19,8,6,8
bookstore-lab,com.university.bookstore.observer,AnalyticsObserver,142,96,4,4,34,22,16,5,14,3
bookstore-lab,com.university.bookstore.observer,AuditLogObserver,162,55,6,2,34,18,19,5,15,5
bookstore-lab,com.university.bookstore.observer,AnalyticsObserver.AnalyticsData,98,0,0,0,22,0,11,0,11,0
bookstore-lab,com.university.bookstore.observer,InventoryObserver,2,214,2,3,1,47,3,16,1,15
bookstore-lab,com.university.bookstore.observer,AuditLogObserver.AuditLogStats,72,0,0,0,14,0,7,0,7,0
bookstore-lab,com.university.bookstore.observer,AuditLogObserver.AuditLogEntry,45,21,0,0,5,8,5,2,5,2
bookstore-lab,com.university.bookstore.utils,BookArrayUtils,8,551,10,124,0,115,9,76,0,18
bookstore-lab,com.university.bookstore.utils,LoggerFactory,6,0,0,0,2,0,2,0,2,0
bookstore-lab,com.university.bookstore.demo,PolymorphismDemo,1173,0,53,0,206,0,45,0,18,0
bookstore-lab,com.university.bookstore.chain,DiscountHandler,59,16,7,1,13,6,9,3,5,3
bookstore-lab,com.university.bookstore.chain,DirectorHandler,4,37,0,2,2,11,2,4,2,3
bookstore-lab,com.university.bookstore.chain,VPHandler,4,37,0,2,2,10,2,4,2,3
bookstore-lab,com.university.bookstore.chain,DiscountRequest,190,88,24,2,20,24,20,12,7,12
bookstore-lab,com.university.bookstore.chain,ManagerHandler,4,37,0,2,2,11,2,4,2,3
bookstore-lab,com.university.bookstore.chain,DiscountApprovalService.ApprovalStats,70,0,0,0,14,0,7,0,7,0
bookstore-lab,com.university.bookstore.chain,DiscountApprovalService,178,137,11,7,39,30,22,5,14,4
bookstore-lab,com.university.bookstore.composite,MaterialLeaf,0,99,0,6,0,22,0,20,0,17
bookstore-lab,com.university.bookstore.composite,MaterialComponent,7,0,2,0,1,0,2,0,1,0
bookstore-lab,com.university.bookstore.composite,BundleService,6,358,1,29,1,82,1,39,0,25
bookstore-lab,com.university.bookstore.composite,BundleService.BundleStats,0,82,0,0,0,16,0,8,0,8
bookstore-lab,com.university.bookstore.composite,MaterialBundle,195,151,23,15,29,37,24,21,9,17
bookstore-lab,com.university.bookstore,BookstoreApplication,5,7,0,0,2,2,1,2,1,2
bookstore-lab,com.university.bookstore.factory,AdvancedMaterialFactory,739,0,48,0,152,0,48,0,20,0
bookstore-lab,com.university.bookstore.factory,MaterialFactory,277,540,52,44,46,127,36,31,1,16
bookstore-lab,com.university.bookstore.impl,ModernConcurrentMaterialStore,504,772,50,38,122,169,60,51,21,46
bookstore-lab,com.university.bookstore.impl,ConcurrentMaterialStore,722,123,58,6,165,27,67,8,36,7
bookstore-lab,com.university.bookstore.impl,BookstoreArrayList,2,376,4,40,0,81,4,44,0,26
bookstore-lab,com.university.bookstore.impl,MaterialStoreImpl,50,571,3,63,11,134,7,69,4,39
bookstore-lab,com.university.bookstore.service,MaterialService.MaterialNotFoundException,5,4,0,0,2,2,1,1,1,1
bookstore-lab,com.university.bookstore.service,MaterialService,80,71,12,10,17,16,17,6,6,6
bookstore-lab,com.university.bookstore.service,MaterialService.InvalidMaterialException,9,0,0,0,4,0,2,0,2,0
bookstore-lab,com.university.bookstore.decorator,GiftWrappingDecorator,0,93,0,12,0,17,0,13,0,7
bookstore-lab,com.university.bookstore.decorator,DigitalAnnotationDecorator,6,133,5,13,0,26,5,16,0,12
bookstore-lab,com.university.bookstore.decorator,ExpeditedDeliveryDecorator,4,91,3,9,0,17,3,10,0,7
bookstore-lab,com.university.bookstore.decorator,MaterialDecorator,8,111,3,9,1,23,4,13,1,10
bookstore-lab,com.university.bookstore.decorator,MaterialEnhancementService,36,277,14,44,9,76,14,30,0,15
